t,t_wall,ax,ay,gravity,gx,gy,psi_dot,delta_dot,t_rel,steer_input,direction,rep,ay_target,swa_calib_deg
428.7661519832909,1781612081.720491,1.933915376663208,1.1567550897598267,9.812450408935547,-0.007664073724299669,-1.0465284503879957e-05,0.06075355038046837,0.0,0.73,0.20262,left,1,2.0,7.092
428.7761519830674,1781612081.730977,1.933431625366211,1.1911534070968628,9.812880516052246,-0.007070373278111219,-2.7179001335753128e-05,0.06344013661146164,0.0,0.74,0.20262,left,1,2.0,7.092
428.7861519828439,1781612081.7410624,1.9320876598358154,1.2238070964813232,9.812973022460938,-0.005791007075458765,-3.470390947768465e-05,0.06591241806745529,0.0,0.75,0.20262,left,1,2.0,7.092
428.79615198262036,1781612081.7523124,1.9302146434783936,1.2526466846466064,9.812692642211914,-0.004053487908095121,-3.353110878379084e-05,0.06818536669015884,0.0,0.76,0.20262,left,1,2.0,7.092
428.80615198239684,1781612081.7618093,1.9288820028305054,1.2767720222473145,9.812211036682129,-0.0020993577782064676,-2.4557528377044946e-05,0.07027227431535721,0.0,0.77,0.20262,left,1,2.0,7.092
428.8161519821733,1781612081.7724063,1.9281543493270874,1.297127604484558,9.811568260192871,-0.0001558201329316944,-9.445626346860081e-06,0.07218462973833084,0.0,0.78,0.20262,left,1,2.0,7.092
428.8261519819498,1781612081.7829218,1.92596435546875,1.3181811571121216,9.810969352722168,0.0015857112593948841,1.0143699000764173e-05,0.07393239438533783,0.0,0.79,0.20262,left,1,2.0,7.092
428.8361519817263,1781612081.793064,1.9245601892471313,1.3380720615386963,9.810328483581543,0.0029844287782907486,3.223237217753194e-05,0.0755247175693512,0.0,0.8,0.20262,left,1,2.0,7.092
428.84615198150277,1781612081.803114,1.9231383800506592,1.3581085205078125,9.80981731414795,0.00395622244104743,5.478748062159866e-05,0.07697001099586487,0.0,0.81,0.20262,left,1,2.0,7.092
428.85615198127925,1781612081.813457,1.9215325117111206,1.381006121635437,9.8095121383667,0.004472044296562672,7.620178803335875e-05,0.07827673852443695,0.0,0.8200000000000001,0.20262,left,1,2.0,7.092
428.86615198105574,1781612081.8239615,1.9202148914337158,1.405616044998169,9.8093900680542,0.004554410465061665,9.523247717879713e-05,0.07945339381694794,0.0,0.8300000000000001,0.20262,left,1,2.0,7.092
428.8761519808322,1781612081.833458,1.918213963508606,1.4328652620315552,9.809414863586426,0.004263764712959528,0.0001111402380047366,0.08050889521837234,0.0,0.84,0.20262,left,1,2.0,7.092
428.8861519806087,1781612081.844979,1.916866421699524,1.4607789516448975,9.809535026550293,0.003687732620164752,0.00012263000826351345,0.0814526304602623,0.0,0.85,0.20262,left,1,2.0,7.092
428.8961519803852,1781612081.855262,1.9150793552398682,1.491228461265564,9.80956745147705,0.00292858574539423,0.00012920002336613834,0.08229398727416992,0.0,0.86,0.20262,left,1,2.0,7.092
428.90615198016167,1781612081.8646748,1.9135074615478516,1.521748661994934,9.809842109680176,0.00208835955709219,0.000131515073007904,0.08304277807474136,0.0,0.87,0.20262,left,1,2.0,7.092
428.91615197993815,1781612081.8751948,1.9122308492660522,1.5502225160598755,9.810142517089844,0.0012605353258550167,0.0001301700685871765,0.083708755671978,0.0,0.88,0.20262,left,1,2.0,7.092
